HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
BATS0002CIBE001,10.205.138.68,HundredGigE0/0/0/0,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/0/0/1,
BATS0002CIBE001,10.205.138.68,Bundle-Ether 31,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether 35,
BATS0002CIBE001,10.205.138.68,HundredGigE0/7/0/0,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/0/0/1,
BATS0002CIBE001,10.205.138.68,Bundle-Ether 32,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether 35,
BATS0002CIBE002,10.205.138.69,HundredGigE0/0/0/0,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/1/0/1,
BATS0002CIBE002,10.205.138.69,Bundle-Ether 31,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether 36,
BATS0002CIBE002,10.205.138.69,HundredGigE0/7/0/0,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/1/0/1,
BATS0002CIBE002,10.205.138.69,Bundle-Ether 32,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether 36,
NSBS0051CIBE001,10.205.138.70,HundredGigE0/0/0/0,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/0/0/34,
NSBS0051CIBE001,10.205.138.70,Bundle-Ether 31,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether 37,
NSBS0051CIBE001,10.205.138.70,HundredGigE0/7/0/0,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/0/0/34,
NSBS0051CIBE001,10.205.138.70,Bundle-Ether 32,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether 37,
NSBS0051CIBE002,10.205.138.71,HundredGigE0/0/0/0,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/1/0/34,
NSBS0051CIBE002,10.205.138.71,Bundle-Ether 31,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether 38,
NSBS0051CIBE002,10.205.138.71,HundredGigE0/7/0/0,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/1/0/34,
NSBS0051CIBE002,10.205.138.71,Bundle-Ether 32,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether 38,
LCN04117CIBP001,10.205.136.64,Hu0/0/0/0,,MKTG3610CIBP001,10.205.136.1,Hu0/0/0/0,
LCN04117CIBP001,10.205.136.64,Bundle-Ether 31,,MKTG3610CIBP001,10.205.136.1,Bundle-Ether 31,
LCN04117CIBP002,10.205.136.65,Hu0/0/0/0,,MKTG3610CIBP002,10.205.136.2,Hu0/0/0/0,
LCN04117CIBP002,10.205.136.65,Bundle-Ether 31,,MKTG3610CIBP002,10.205.136.2,Bundle-Ether 31,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
